MET2013_chr,pop_total.1,Agriculture,Architecture,"Area, Ethnic, and Civilization Studies",Biology and Life Sciences,Business,Communication Technologies,Communications,Computer and Information Sciences,Construction Services,Cosmetology Services and Culinary Arts,Criminal Justice and Fire Protection,Education Administration and Teaching,Electrical and Mechanic Repairs and Technologies,Engineering,Engineering Technologies,"English Language, Literature, and Composition",Environment and Natural Resources,Family and Consumer Sciences,Fine Arts,History,Interdisciplinary and Multi-Disciplinary Studies (General),Law,Liberal Arts and Humanities,Library Science,Linguistics and Foreign Languages,Mathematics and Statistics,Medical and Health Sciences and Services,Military Technologies,N/A,"Nuclear, Industrial Radiology, and Biological Technologies",Philosophy and Religious Studies,"Physical Fitness, Parks, Recreation, and Leisure",Physical Sciences,Psychology,"Public Affairs, Policy, and Social Work",Social Sciences,Theology and Religious Vocations,Transportation Sciences and Technologies
"Akron, OH",703300.25,#N/A,#N/A,#N/A,0.9912244197315522,2.7710170325479186,#N/A,0.8692843220787192,0.7470489925215023,#N/A,#N/A,#N/A,1.7507760557251686,#N/A,1.3550877136076518,#N/A,0.5026549873730626,#N/A,#N/A,0.7364000492845978,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6721988386727473,#N/A,57.38259629158756,#N/A,#N/A,#N/A,#N/A,0.9504624655541066,#N/A,0.9480570800849817,#N/A,#N/A
"Albany-Schenectady-Troy, NY",846076,0.18378216962883226,#N/A,#N/A,1.806905623988308,4.048395472157182,#N/A,1.276687299990452,0.8664110850205002,#N/A,#N/A,0.5107833808985097,1.5999551869734496,#N/A,2.257027495475438,#N/A,0.6965906599128106,#N/A,#N/A,0.8849663853177504,0.8517002604921164,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.3183244321206915,#N/A,51.873918032132245,#N/A,#N/A,#N/A,1.0367741417849756,1.582642365927477,0.37575829811127803,1.824938878531858,#N/A,#N/A
"Albuquerque, NM",887445.75,#N/A,#N/A,#N/A,0.5798417644332058,1.4455948924656166,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6401970116620678,#N/A,0.8062680298859091,#N/A,#N/A,#N/A,#N/A,0.7718873503093906,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.741002929474416,#N/A,59.06775079710398,#N/A,#N/A,#N/A,0.2517938962997664,0.7984381599971883,#N/A,0.7738761139613513,#N/A,#N/A
"Alexandria, LA",132365,#N/A,#N/A,#N/A,#N/A,0.4306274317228874,#N/A,0.3248592905979677,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5590601745174328,0.9519132701242775,#N/A,63.81596343444264,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Allentown-Bethlehem-Easton, PA-NJ",830179.625,#N/A,#N/A,#N/A,0.7191911949086395,2.568622068834585,#N/A,0.626996928058042,#N/A,#N/A,#N/A,0.6561371239505995,1.204773817558499,#N/A,1.1361876745941413,#N/A,0.3134300814354003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.966616246240654,#N/A,48.82554841870326,#N/A,#N/A,#N/A,#N/A,0.7523097497329623,#N/A,0.6185341328420367,#N/A,#N/A
"Altoona, PA",127002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.700697626809027,#N/A,#N/A,#N/A,0.6692807987275791,4.850317317837515,#N/A,0.23621675249208673,#N/A,1.259822679957796,#N/A,#N/A,#N/A,0.5826679894804806,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.6692493031605804,#N/A,42.70011495881955,#N/A,#N/A,#N/A,0.7165241492259965,0.8976236594699296,#N/A,#N/A,#N/A,#N/A
"Amarillo, TX",249289.25,#N/A,#N/A,#N/A,1.0280995373500816,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.90544603978361,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Anchorage, AK",453001,#N/A,#N/A,#N/A,#N/A,1.3920654224277902,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.86059540563168,#N/A,#N/A,#N/A,0.6710674206182409,#N/A,#N/A,#N/A,#N/A,#N/A
"Ann Arbor, MI",355617.875,#N/A,#N/A,#N/A,4.6794904475464945,3.3743507620461126,#N/A,#N/A,1.2121238877916913,#N/A,#N/A,#N/A,2.010864609437591,#N/A,8.210252028058829,#N/A,0.8892357508203861,#N/A,#N/A,2.3236595022042477,#N/A,1.0385116670006314,#N/A,#N/A,#N/A,#N/A,#N/A,2.6590557498617464,#N/A,73.95195028926082,#N/A,#N/A,#N/A,2.4860358635684943,2.522106658366498,#N/A,3.782731059939142,#N/A,#N/A
"Anniston-Oxford-Jacksonville, AL",116518.625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.95692174193868,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Asheville, NC",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Athens-Clarke County, GA",175968,0.142071285688307,#N/A,#N/A,5.989725404619022,3.114202582287689,0.21026550281869433,0.5569194398981633,4.529232587743226,0.19321694853609747,#N/A,#N/A,1.528687034006183,#N/A,#N/A,#N/A,1.443444262593199,#N/A,0.3750681942171304,1.4377614111656665,1.5798326968539735,#N/A,#N/A,0.2386797599563557,#N/A,1.1024731769412621,0.5853336970358247,0.7217221312965995,#N/A,124.67039461720313,#N/A,0.38643389707219494,1.6878068739770868,#N/A,2.972131296599382,#N/A,1.7219039825422806,#N/A,2.614111656664848
"Atlanta-Sandy Springs-Roswell, GA",5524759.875,0.09550981645847922,0.10904892394315288,#N/A,0.9743932952817359,3.17616288892225,0.08199485814876506,1.0150601557824708,0.6754566283258157,0.04177555460714863,#N/A,0.31638290221925375,1.1909454923046034,#N/A,1.0915746098993748,#N/A,0.343856690620784,#N/A,0.1534298550609924,0.7340034834665353,0.22123924239837922,0.10541886696396255,#N/A,0.08484709531993244,#N/A,#N/A,0.1881586949722705,1.0318494099951945,#N/A,53.32414771970316,#N/A,0.07891129690013762,0.36254946314958947,0.3689048980170934,0.9415602511543496,0.11470536582746234,0.9673263690045294,#N/A,#N/A
"Atlantic City-Hammonton, NJ",265415.125,#N/A,#N/A,#N/A,#N/A,2.380926218757366,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.4438010241498376,#N/A,55.43936001354675,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.8170442479623339,#N/A,#N/A
